beta,alpha,tau,seed,rep,community_id,community_size,degree_opinion_corr
0.5,0.0,1.0,1886630827569662473,1,7,94,-0.5012988077460306
0.5,0.0,1.0,1886630827569662473,1,8,84,-0.466446681979325
0.5,0.0,1.0,1886630827569662473,1,9,62,-0.4416736017623267
0.5,0.0,1.0,7769395673910139271,2,1,102,-0.565065975611942
0.5,0.0,1.0,7769395673910139271,2,2,69,-0.5114106541366991
0.5,0.0,1.0,7769395673910139271,2,3,105,-0.519533723385928
0.5,0.0,1.0,7769395673910139271,2,4,87,-0.6473415656542253
0.5,0.0,1.0,7769395673910139271,2,5,63,-0.5766400724075698
0.5,0.0,1.0,7769395673910139271,2,6,103,-0.5029507768906828
0.5,0.0,1.0,7769395673910139271,2,7,98,-0.45746604618347275
0.5,0.0,1.0,7769395673910139271,2,8,85,-0.5837317600696779
0.5,0.0,1.0,13649670364783228788,3,1,98,-0.5784601269114886
0.5,0.0,1.0,13649670364783228788,3,2,102,-0.5156629433730966
0.5,0.0,1.0,13649670364783228788,3,3,117,-0.5583643880992586
0.5,0.0,1.0,13649670364783228788,3,4,108,-0.4572730779216167
0.5,0.0,1.0,13649670364783228788,3,5,87,-0.6076240580183128
0.5,0.0,1.0,13649670364783228788,3,6,107,-0.4844391963615602
0.5,0.0,1.0,13649670364783228788,3,7,98,-0.6478386918789799
0.5,0.0,1.0,1087581004629652632,4,1,102,-0.5070850741577494
0.5,0.0,1.0,1087581004629652632,4,2,112,-0.5730334967307251
0.5,0.0,1.0,1087581004629652632,4,3,109,-0.6073809890650479
0.5,0.0,1.0,1087581004629652632,4,4,71,-0.5630042236057028
0.5,0.0,1.0,1087581004629652632,4,5,89,-0.6543796473636182
0.5,0.0,1.0,1087581004629652632,4,6,97,-0.36611935588509625
0.5,0.0,1.0,1087581004629652632,4,7,59,-0.5442393307547875
0.5,0.0,1.0,1087581004629652632,4,8,97,-0.5302394546677538
0.5,0.0,1.0,6967241201646515395,5,1,106,-0.4999730377715229
0.5,0.0,1.0,6967241201646515395,5,2,65,-0.5028303464699828
0.5,0.0,1.0,6967241201646515395,5,3,114,-0.46320292470133384
0.5,0.0,1.0,6967241201646515395,5,4,59,-0.40063870094429954
0.5,0.0,1.0,6967241201646515395,5,5,70,-0.315880216075643
0.5,0.0,1.0,6967241201646515395,5,6,108,-0.6374505662944698
0.5,0.0,1.0,6967241201646515395,5,7,66,-0.5543440969552035
0.5,0.0,1.0,6967241201646515395,5,8,92,-0.5107667598128635
0.5,0.0,1.0,6967241201646515395,5,9,58,-0.5932910332844682
0.5,0.0,1.0,12852508321704610781,6,1,108,-0.5909531118450051
0.5,0.0,1.0,12852508321704610781,6,2,113,-0.5497676883226699
0.5,0.0,1.0,12852508321704610781,6,3,59,-0.5747842486395371
0.5,0.0,1.0,12852508321704610781,6,4,65,-0.6157490283541048
0.5,0.0,1.0,12852508321704610781,6,5,67,-0.45303411896802426
0.5,0.0,1.0,12852508321704610781,6,6,92,-0.5670766867675224
0.5,0.0,1.0,12852508321704610781,6,7,114,-0.5402200326761399
0.5,0.0,1.0,12852508321704610781,6,8,98,-0.563833581017232
0.5,0.0,1.0,284763797437110866,7,1,114,-0.5186136776728582
0.5,0.0,1.0,284763797437110866,7,2,124,-0.5934755926357242
0.5,0.0,1.0,284763797437110866,7,3,98,-0.467283239261981
0.5,0.0,1.0,284763797437110866,7,4,139,-0.5653430255906271
0.5,0.0,1.0,284763797437110866,7,5,109,-0.4781282888992463
0.5,0.0,1.0,284763797437110866,7,6,117,-0.6210423732714444
0.5,0.0,1.0,6171925887131854938,8,1,88,-0.5157161233302646
0.5,0.0,1.0,6171925887131854938,8,2,120,-0.537663952343244
0.5,0.0,1.0,6171925887131854938,8,3,107,-0.4308839417188318
0.5,0.0,1.0,6171925887131854938,8,4,103,-0.6312773776057656
0.5,0.0,1.0,6171925887131854938,8,5,91,-0.54705184933784
0.5,0.0,1.0,6171925887131854938,8,6,63,-0.5823244539965535
0.5,0.0,1.0,6171925887131854938,8,7,96,-0.575143191671506
0.5,0.0,1.0,6171925887131854938,8,8,63,-0.6118644652988554
0.5,0.0,1.0,12050027700361795030,9,1,96,-0.41382293002730713
0.5,0.0,1.0,12050027700361795030,9,2,53,-0.6283842912297143
0.5,0.0,1.0,12050027700361795030,9,3,94,-0.3740490903390822
0.5,0.0,1.0,12050027700361795030,9,4,91,-0.44916215586201513
0.5,0.0,1.0,12050027700361795030,9,5,58,-0.5138488995107701
0.5,0.0,1.0,12050027700361795030,9,6,109,-0.5607907216920984
0.5,0.0,1.0,12050027700361795030,9,7,78,-0.3357497212692879
0.5,0.0,1.0,12050027700361795030,9,8,97,-0.5336276546129112
0.5,0.0,1.0,12050027700361795030,9,9,58,-0.36348816774517184
0.5,0.0,1.0,17930919030427276652,10,1,119,-0.5601496361342218
0.5,0.0,1.0,17930919030427276652,10,2,101,-0.5302686716164553
0.5,0.0,1.0,17930919030427276652,10,3,67,-0.4237739742911841
0.5,0.0,1.0,17930919030427276652,10,4,121,-0.642315641119862
0.5,0.0,1.0,17930919030427276652,10,5,65,-0.7179108443334045
0.5,0.0,1.0,17930919030427276652,10,6,67,-0.41971200611699316
0.5,0.0,1.0,17930919030427276652,10,7,64,-0.6563828545673053
0.5,0.0,1.0,17930919030427276652,10,8,111,-0.5407355636172071
0.5,0.0,1.0,5373200415827222759,11,1,61,-0.5856389200560091
0.5,0.0,1.0,5373200415827222759,11,2,84,-0.5777143468205775
0.5,0.0,1.0,5373200415827222759,11,3,95,-0.5923019794766965
0.5,0.0,1.0,5373200415827222759,11,4,100,-0.653529918755253
0.5,0.0,1.0,5373200415827222759,11,5,97,-0.4054279760958094
0.5,0.0,1.0,5373200415827222759,11,6,107,-0.49029466210696476
0.5,0.0,1.0,5373200415827222759,11,7,57,-0.64027613269091
0.5,0.0,1.0,5373200415827222759,11,8,58,-0.6611299837543573
0.5,0.0,1.0,5373200415827222759,11,9,65,-0.4291291218862292
0.5,0.0,1.0,11254713893380656171,12,1,114,-0.5822148187681507
0.5,0.0,1.0,11254713893380656171,12,2,115,-0.4861575640356927
0.5,0.0,1.0,11254713893380656171,12,3,97,-0.506749936309195
0.5,0.0,1.0,11254713893380656171,12,4,103,-0.4962466822217463
0.5,0.0,1.0,11254713893380656171,12,5,68,-0.5159493166649416
0.5,0.0,1.0,11254713893380656171,12,6,62,-0.47961669953205666
0.5,0.0,1.0,11254713893380656171,12,7,64,-0.5299989785464213
0.5,0.0,1.0,11254713893380656171,12,8,91,-0.38713347574089074
0.5,0.0,1.0,17134328052643051672,13,1,103,-0.46760859871649674
0.5,0.0,1.0,17134328052643051672,13,2,99,-0.5189496629983766
0.5,0.0,1.0,17134328052643051672,13,3,68,-0.7136200532141592
0.5,0.0,1.0,17134328052643051672,13,4,114,-0.4327663382925889
0.5,0.0,1.0,17134328052643051672,13,5,89,-0.6310926114368371
0.5,0.0,1.0,17134328052643051672,13,6,61,-0.4162449342408736
0.5,0.0,1.0,17134328052643051672,13,7,117,-0.39009608255575395
0.5,0.0,1.0,17134328052643051672,13,8,82,-0.6215157913867887
0.5,0.0,1.0,4565969788286085802,14,1,69,-0.566273181389076
0.5,0.0,1.0,4565969788286085802,14,2,115,-0.35509849086469186
0.5,0.0,1.0,4565969788286085802,14,3,71,-0.571106006468454
0.5,0.0,1.0,4565969788286085802,14,4,107,-0.4366171209035531
0.5,0.0,1.0,4565969788286085802,14,5,64,-0.42252823130475414
0.5,0.0,1.0,4565969788286085802,14,6,133,-0.3984405514765501
0.5,0.0,1.0,4565969788286085802,14,7,63,-0.4225579437056293
0.5,0.0,1.0,4565969788286085802,14,8,91,-0.6234478102310301
0.5,0.0,1.0,10456609931761332029,15,1,114,-0.49540963303917135
0.5,0.0,1.0,10456609931761332029,15,2,74,-0.4759952917383011
0.5,0.0,1.0,10456609931761332029,15,3,119,-0.6073093631186892
0.5,0.0,1.0,10456609931761332029,15,4,119,-0.6637880692582536
